Año;Periodo;Pensionados;Sexo
2014;Diciembre;485469;M
2015;Enero;486225;M
2015;Febrero;485989;M
2015;Marzo;486714;M
2015;Abril;487708;M
2015;Mayo;487977;M
2015;Junio;489060;M
2015;Julio;490299;M
2015;Agosto;490588;M
2015;Septiembre;491734;M
2015;Octubre;493110;M
2015;Noviembre;494214;M
2015;Diciembre;495129;M
2016;Enero;495102;M
2016;Febrero;495727;M
2016;Marzo;496643;M
2016;Abril;497471;M
2016;Mayo;498138;M
2016;Junio;499608;M
2016;Julio;501154;M
2016;Agosto;502171;M
2016;Septiembre;502669;M
2016;Octubre;503855;M
2016;Noviembre;504906;M
2016;Diciembre;506111;M
2017;Enero;505879;M
2017;Febrero;505332;M
2017;Marzo;506938;M
2017;Abril;508597;M
2017;Mayo;508198;M
2017;Junio;510027;M
2017;Julio;511452;M
2017;Agosto;511492;M
2017;Septiembre;512034;M
2017;Octubre;513383;M
2017;Noviembre;515157;M
2017;Diciembre;516616;M
2018;Enero;516534;M
2018;Febrero;517396;M
2018;Marzo;518836;M
2018;Abril;519997;M
2018;Mayo;520162;M
2018;Junio;521802;M
2018;Julio;523338;M
2018;Septiembre;524977;M
2018;Octubre;526175;M
2018;Noviembre;527797;M
2018;Diciembre;529345;M
2019;Enero;529603;M
2019;Febrero;531039;M
2019;Marzo;531455;M
2019;Abril;532388;M
2019;Mayo;531991;M
2019;Junio;533955;M
2019;Julio;535313;M
2019;Agosto;536167;M
2019;Septiembre;536405;M
2019;Octubre;537327;M
2019;Noviembre;538679;M
2019;Diciembre;540284;M
2020;Enero;540407;M
2020;Marzo;540385;M
2020;Abril;540413;M
2020;Mayo;536331;M
2020;Junio;537019;M
2020;Julio;538939;M
2020;Agosto;540250;M
2020;Septiembre;539559;M
2020;Octubre;540266;M
2020;Noviembre;541745;M
2020;Diciembre;543764;M
2021;Enero;544650;M
2021;Febrero;545124;M
2021;Marzo;546359;M
2021;Abril;547356;M
2021;Mayo;548446;M
2021;Junio;549656;M
2021;Julio;551243;M
2021;Agosto;550835;M
2021;Septiembre;551637;M
2021;Octubre;553154;M
2021;Noviembre;555002;M
2021;Diciembre;556507;M
2022;Enero;556861;M
2022;Febrero;557191;M
2022;Marzo;558443;M
2022;Abril;560099;M
2022;Julio;562510;M
2022;Noviembre;566934;M
2022;Diciembre;568484;M
